dia_chi,hotline,ten,website
" Đường 13/12, Khóm 8, Thị trấn Rạch Gốc, tỉnh Cà Mau","
                                            , ,
                                        ",Siêu thị Tã - Sữa Phú Huy,
" 29 Lô G22, Đường số 8, An Cựu City, Huế."," 858 Quốc lộ 52, phường Hiệp Phú, TP Thủ Đức.",JPMART - Siêu thị thực phẩm nhập khẩu,
" 436A/108A/5 Đường 3 Tháng 2, Phường 12, Quận 10, TP.HCM","
                                                , ,
                                            ",XCN.VN - Nơi mua sắm online uy tín ,https://xcn.vn
 0347779849,"
                                                , ,
                                            ",Sulie House - Thiên đường phụ kiện dành cho bé yêu,https://suliehouse.com/
" Số 1 Đặng Minh Hưởng, Phú Lộc, Thừa Thiên Huế", 0366442967,"Ngọc Hạnh Minimart - Chuyên hàng gia dụng, tạp hoá thiết yêu trong gia đình",profile.php?id=100063655922658
" Số 6 Trường Chinh, Tp Huế"," Số 58 Nguyễn Huệ, Tp Huế","ilahome - Mỹ Phẩm, Quà Tặng & Giày Dép",
" Xóm Hồ 2, Xã Minh Đức, Thị xã Phổ Yên, Thái Nguyên","
                                                , ,
                                            ",Ăn cùng Bà Tuyết - Chuyên đồ ăn vặt,
" Xóm 5, xã Quang Thiện, Thị trấn Phát Diệm, Huyện Kim Sơn, Tỉnh Ninh Bình","
                            ,
                            ,
                            ,
                        ","Nhà thuốc Thu Cúc - Chuyên thuốc theo đơn, thuốc lẻ, TPCN",
" 230 Trần Hưng Đạo, Thị xã Quảng Trị, Quảng Trị", 0888515878,"Rio Baby Mart - Sỉ lẻ hàng trẻ em uy tín, chất lượng", HoThuSuongRiobaby
" D22/17 Đường N9 KDC Thuận Giao,Thuận An,Bình Dương", ,Hoàng Linh Cosmetics - Kho sỉ mỹ phẩm chính hãng,
" Thôn Gò Đình, Xã Hồng Lạc, Huyện Sơn Dương, Tỉnh Tuyên Quang"," Khu 8 Phú Mỹ, Phù Ninh, Phú Thọ","Hệ thống siêu thị Hùng Vương - Thương hiệu quốc tế, giá thành Việt", HungVuongMart
" Số 38 Phạm Văn Đồng, Thị trấn Măng Đen, Huyện Kon Plông, Tỉnh Kon Tum, Việt Nam","
                                            , ,
                                        ",Công ty Cổ phần Tập đoàn Cafe Măng Đen - cà phê tuyệt hảo đến từ Măng Đen,
" Lộ 940, Ấp Mỹ Thuận - TT Huỳnh Hữu Nghĩa - Huyện Mỹ Tú - Tỉnh Sóc Trăng", 0788625858,Bách hóa Bảy Tỷ Hai - Chuyên sỉ lẻ hàng bách hóa,https://bachhoabaytyhai.com
" 38 Khu Phố 2, thị trấn Bến Cầu, huyện Bến Cầu, tỉnh Tây Ninh", 0965168123,Bách hóa Hồng Chí - Cung cấp các mặt hàng thiết yếu hàng ngày, bachhoahongchi
" Diêm Điền, An Ninh Tây, Tuy An, Phú Yên", 0367749259,Onni Cosmestic - Chuyên cung cấp các loại mỹ phẩm công ty được nhập khẩu chính ngạch, onnicosmeticpy
"
                                                , ,
                                            ", 0912182501,Chái bếp - Thực phẩm an lành Bến Tre,
" 347 đường Trần Hưng Đạo, Phường Bà Triệu, Thành phố Nam Định, Tỉnh Nam Định","
                            ,
                            ,
                            ,
                        ","Cửa hàng bách hoá Chiến Thanh - bánh kẹo, bia rượu, hàng nhập ngoại.",
" Đường Đông Tây, Khu phố 2, Thị trấn Ba Tri, Tỉnh Bến Tre","
                                            , ,
                                        ",Siêu thị mẹ và bé MORI KIDS - Chuyên các sản phẩm sữa bỉm cho bé,
" Đường Nguyễn Hiến Lê - k1, phường Thanh Sơn, Tp Phan Rang Tháp Chàm, Ninh Thuận","
                                                , ,
                                            ","Lily Kids - Sỉ và lẻ quần áo trẻ em, nhận order hàng Taobao cao cấp",
" 517 Khu dốc đồn, thị trấn Chũ, huyện Lục Ngạn, tỉnh Bắc Giang","
                                                , ,
                                            ",Trúc Trần - Thế Giới Son Môi - Chuyên sỉ lẻ mỹ phẩm chính hãng,
" C17, Lê Hồng Phong, P. Bình Thủy, Q. Bình Thủy, Thành Phố Cần Thơ", ,Làng nghề sông Đốc - Đặc sản Cà Mau ,
" HMRQ+C3V, QL21A, TT. Thanh Hà, Kim Bôi, Hòa Bình","
                            ,
                            ,
                            ,
                        ",Cửa hàng tiện lợi Tuấn Trinh - Kinh doanh các mặt hàng nhu yếu phẩm cần thiết,
" Tổ 21, ấp Hòa Phú 4, Thị trấn An Châu, Huyện Châu Thành, An Giang.","
                            ,
                            ,
                            ,
                        ",Shop Nguyễn Loan,
 Bích Động- Việt Yên- Bắc Giang,"
                                                , ,
                                            ","Kids Xinh Shop - Chuyên sỉ lẻ quần áo, phụ kiện cho bé",
" 12/7 Vĩnh Thành, Vĩnh Phương, Nha Trang, Khánh Hòa","
                            ,
                            ,
                            ,
                        ",Trung tâm Nghiên cứu và Chế biến thực phẩm Khánh Hoà,
" 168H Đường Võ Nguyên Giáp, Xã Bình Phú, TP. Bến Tre, Tỉnh Bến Tre", ,"Cửa hàng Quỳnh Anh - thiết bị, vật tư ý tế hiện hiện đại",
" Tòa C – Việt Đức Complex 164 Khuất Duy Tiến, Nhân Chính, Thanh Xuân,Hà Nội", ,Trường mầm non quốc tế O'Hana,ohanavn/
" Số 29 - Ngõ 35, Phố Cát Linh, P. Cát Linh, Q. Đống Đa, Hà Nội", ,Medical Việt Nam - Thiết Bị Y Tế Nhập Khẩu,
" No B18-06, Vinhome Gardenia, P. Hàm Nghi, Mỹ Đình, Hà Nội"," No B18-05A, Vinhome Gardenia, P. Hàm Nghi, Mỹ Đình, Hà Nội",Trường mầm non song ngữ AMG Kindergarten - giáo dục là yêu thương,https://anhmyglobal.edu.vn/
" Nhà A1, 369 Trường Chinh, Thanh Xuân, Hà Nội", ,Nippon Food - Nguyên liệu sạch đảm chất lượng dành cho các bà nội trợ,NipponmaruVN
" SN 32, tổ 10, P. Quang Trung, TP Thái Nguyên, Tỉnh Thái Nguyên", ,Túy Trà - 50 năm kinh nghiệm trồng và chế biến chè Thái Nguyên,FBTuyTra/
" 28/23 KP Bình Đường 1, P.An Bình, TX.Dĩ An, Tỉnh Bình Dương", ,Datafa chuyên khai thác - sản xuất yến sào cao cấp và nước giải khát,datafafnb
 4/68E Trần Khắc Chân P.Tân Định Q.1 Tp.HCM, ,Shop Đồ chơi bé yêu - KK Baby,ShopDoChoBeYeu/
" Thôn Liêu Hạ, Xã Tân Lập, Huyện Yên Mỹ, Tỉnh Hưng Yên", ,Đức Việt Food - 20 năm được người tiêu dùng tin tưởng lựa chọn,ducvietfoods
" 1224 Trần Hưng Đạo ,TP Sông Công, Thái Nguyên", ,Trà Tân Cương Xanh - Trà Việt Nam thượng hạng ,vntea/
 85 HT06 - P.Hiệp Thành - Quận 12 - TP. Hồ Chí Minh, ,Hoa Doanh Foods - Chuyên các loại thực phẩm chế biến sẵn,
" B04, Khu nhà ở Bộ Quốc Phòng, P. Xuân Đỉnh, Q. Bắc Từ Liêm, Hà Nội", ,PTL Vina - Thực phẩm dinh dưỡng dành cho gia đình đến từ Hàn Quốc,
" Số 5, Đường số 7, KDC Him Lam, P. Tân Hưng, Q. 7, TP. Hồ Chí Minh", ,Celluver - Sự lai ghép giữa nước hoa truyền thống và Body mist,celluver.vn/
" 37 Nguyễn Khoái, Phường Hoà Cường Bắc, Q.Hải Châu, TP. Đà Nẵng.", ,"Dịch vụ du lịch Mai Eco - Trao giá trị, nhận niềm tin",
" Ngõ 18, Phố Định Công Thượng, P.Định Công, Q. Hoàng Mai, Hà Nội", 0981153434,Bò khô Xuân Hương - 14 năm thương hiệu bò khô đặc sản,https://bokhoxuanhuong.com/
" Giảng Võ Lakeview Building, Ba Đình, Hà Nội", ,Glamour Skin - Bí quyết nuôi dưỡng làn da không tuổi,
" 3 Phú Thuỵ, Gia Lâm, Hà Nội", ,Thực phẩm bảo vệ sức khỏe - Viên nang Ferrumplus ,ferrumplus.vn
"
                                            , ,
                                        ", 0866915559 ,Vinasamex Mart ,
" 40 Lương Thế Vinh, Buôn Hồ, Đaklak", ,Cordibee - Thành công nhờ kinh doanh mật ong trên đất quê nhà ,matongcordibee/
" Tòa nhà VIT, số 519 Kim Mã, Ngọc Khánh, Ba Đình, Hà Nội", ,Công ty TNHH Pectin Technology - Sức mạnh thải độc từ thiên nhiên,pectincomplexdetox/
" 47 Võ Thị Sáu, Phường 6, Quận 3, TP.HCM"," 143 Nguyễn Thị Minh Khai, Phường Bến Thành, Q.1, TP.HCM",Đầm bầu Celenamom,
" Số 115 Hoàng Văn Thái, Quận Thanh Xuân, Hà Nội", 0936.233.998,Thực phẩm sạch BigGreen -  Thêm chất lượng để thêm lòng tin,facebook.com/biggreen.com.vn
" 178 Tôn Đức Thắng, Đống Đa, Hà Nội", ,3CE Việt Nam,3cevietnam.com.vn
" Tầng 2 toà nhà Times Tower, 35 Lê Văn Lương, Q. Thanh Xuân"," 46A phố Sơn Tây, Q. Ba Đình",Baby closet by T&T – Tình yêu  thương của mẹ dành cho bé, babyclosetbytt/
" 1246 Kha Vạn Cân, P.Linh Trung, Q.Thủ Đức, TPHCM"," 93 Duy Tân, Phường 15, Quận Phú Nhuận, TP.HCM",Naki Beauty,
 Số 34 - Trần Đăng Ninh - Cầu Giấy - Hà Nội,  0944 843 888,Ngocmos giúp đẹp hơn mỗi ngày, NgocMosHangNga
" 33-LK6C, đường Nguyễn Văn Lộc, Phường Mỗ Lao, Quận Hà Đông, Hà Nội","
                                                , ,
                                            ",Sức khỏe gia đình,https://suckhoegiadinh.asia
" 231 Hai Bà Trưng, P6, Q1, TP.HCM "," 29 Trần Huy Liệu,Phú Nhuận, TP.HCM",Đầm bầu Merymom,
" 282 Kim Giang, Hoàng Mai, Hà Nội", ,Khoai Tay ‘s house, dochoimelam
"
                                ,
                                ,
                                ,
                            ",,Garden shop - Thương hiệu phân phối mỹ phẩm chính hãng,
  Số 106 Bạch Mai - Hai Bà Trưng - Hà Nội, ,Konnichiwa - Siêu thị hãng Nhật Bản chính hãng ,facebook.com/KonnichiwaMart
" Tầng 13, Hanoi Tower, 43 Hai Bà Trưng, Hoàn Kiếm, Hà Nội ",  0904895900 ,Ngôi nhà chích bông - Nơi các mẹ cùng chia sẻ kinh nghiệm ,fb.com/ngoinhachichbong  
" 111A Xóm Chiếu, P.16, Q.4, Tp.HCM", 0936 526 088,"Shop thể hình - Nhà phân phối thực phẩm bổ sung uy tín, chất lượng",shopthehinhtphcm/
" 1126 Đê La Thành, Quận Ba Đình, HN"," 299 Hoàng Văn Thụ, P2, Quận Tân Bình, HCM",TokyoBaby - Chuyên hàng Nhật cho bé và cả gia đình,
" Khu Cityland Garden Hills, Số 58, đường số 2, Phường 5, Quận Gò Vấp, Tp. Hồ Chí Minh ","
                                            , ,
                                        ",Brightdoctors - Thương hiệu mỹ phẩn an toàn và hiệu quả,
" Nguyễn Ngọc Vũ, Quận Đống Đa, Hà Nội ", 0354250750 ,SonAuth - Nơi mua sắm mỹ phẩm xách tay tin cậy cho bạn., SonAuth.Official 
" R6, Royal City, 74 Nguyễn Trãi, Hà Nội", ,Sieuthimypham.biz,
 Số 345b GIẢNG VÕ - Q. BA ĐÌNH - TP HÀ NỘI, 0466.6266.44,Muasamtructuyenaz,https://www.muasamtructuyenaz.vn
"  88 Xuân Diệu, thành phố Hà Tĩnh", 093.628.6232,Giải pháp kinh doanh đồ uống Haci, Hacivn-gia%CC%89i-pha%CC%81p-kinh-doanh-%C4%91%C3%B4%CC%80-u%C3%B4%CC%81ng-105592411051132/
" Đường Tuệ Tĩnh, phường Nam Thành, thành phố Ninh Bình", 0886.876.599 - 0229.3893.389,Cửa hàng tiện lợi PQ Mart,https://pq-mart-cua-hang-tien-loi.business.site/
" Ngã Ba Giang, xã Việt Tiến, Thạch Hà, Hà Tĩnh","
                                            , ,
                                        ",Thế giới bỉm sữa Hiển Thọ,
" Số 18A Mạc Thị Bưởi, Thành phố Nam Định", 0914.717.853,Mỹ phẩm chính hãng Shin’s Cosmetic , cosmetics86/?__tn__=%2Cd%2CP-R&eid=ARCaO9yVuj7e56KHZBLBz2bJo1SMwn-812mbBx_0QdGVuAIH_-QDrgE-diSMudLGjAoawEat6Fr4EO4c
 0983.596.828, Thành phố Nam Định,Cửa hàng tạp hóa Hùng Nhuần,
" Số 8A ngách 81 ngõ 310 Nghi Tàm, Quận Tây Hồ, Hà Nội", 090 779 6333,Đặc sản chất - Ẩm thực độc đáo của người Việt,https://dacsanchat.com/
"  796 Quang Trung, P8, Gò Vấp, TP HCM"," Amprin Aeon Tân Phú- 30 Bờ Bao Tân Thắng, Sơn Ký, Tân Phú",Amprin - Thời trang thiết kế trẻ em,
" Số 172 Cầu Đất, Ngô Quyền, Hải Phòng","
                                            , ,
                                        ",Hiệu bánh cổ truyền Đông Phương,
" 437 đường Hoàng Liên, P. Kim Tân, TP. Lào Cai, tỉnh Lào Cai", 0913.287.222,Mai Long Mart ,
" 40 Tô Hiến Thành, TP. Bắc Ninh", 038.992.9015 (Ms Oanh),Dụng cụ phun xăm Oanh Nguyễn,
  39 Lê Lợi - Chư Sê - Gia Lai, 0976.217.879,Shop Mẹ Tôm, dososinhmetom 
" Số 23, Ngõ 29 Đội Nhân, Hà Nội"," Số 22, Ngõ 44 Phạm Thận Duật, Hà Nội",Bun bếp quán,
" KDC 6B, Intresco, Thành Phố Hồ Chí Minh","
                                            , ,
                                        ",Cửa hàng BabyBest,
" 815 Giải Phóng, Hoàng Mai, Hà Nội","
                                            , ,
                                        ",Ngân Hàng Thảo Mộc Việt Nam,
"
                                            , ,
                                        "," 198A Nguyễn Thị Thập (QL60), Phường 5, Thành phố Mỹ Tho",Sâm Yến Phước Thành,
" 106 Bạch Mai, P.Cầu Dền, Q.Hai Bà Trưng, Hà Nội", 098 588 0007 ,Konni39- cửa hàng nội địa Nhật tin dùng cho mọi gia đình Việt,
" 198 Hồ Nghinh, thành phố Đà Nẵng", 098 323 4118,Thiên Phú Mart - Cửa hàng tiện lợi,
 098 624 7747,"
                                            , ,
                                        ",Đặc sản Đà Nẵng - Giao Mart ,
"
                                            , ,
                                        "," 30 Trần Tống, Thanh Khê, Đà Nẵng",Văn phòng phẩm Sandy Store,
"  16 Nguyễn Khắc Cần, Thành phố Đà Nẵng",  090 555 95 60,Siêu thị hàng nhập khẩu UniKary Mart , unikarymart
 091 536 2669," Hà Huy Tập, thị trấn Cẩm Xuyên, thành phố Hà Tĩnh",Cửa hàng Bỉm sữa An Nam, 172hahuytapcamxuyen
" 171 Lê Duẩn, thành phố Đà Nẵng ","
                                            , ,
                                        ",Mỹ phẩm chính hãng Sarang Beauty,
" 516 Núi Thành , Quận Hải Châu , Thành Phố Đà Nẵng", 0934.717.176,Bò Khô Ngon Đà Nẵng - Dương Lê,https://www.facebook.com/bokhongondanang/?eid=ARC9aACwfS8-1kmnlw2efs2zqe0nB4LqBbJsu0dZXmx8JdO4xnnzAs6LngA_M_VG2eWjrjUgULF2TdWQ
" 50 Lạch Tray, Ngô Quyền, Hải Phòng", 0386.933.220 – 0946.633.220,Ảnh viện Bé thiên thần,https://bethienthan.com/
" Số 39E1 ngõ 44 Trần Thái Tông, Cầu Giấy, Hà Nội","
                                            , ,
                                        ",Phúc Nguyên Mart - Siêu Thị Tiện Ích Của Mọi Nhà,
" 548 Nguyễn Kiệm, P4, Q.Phú Nhuận, TPHCM", 0947.792.268,Thiên Nhiên Mới - Nuôi dưỡng cơ thể khỏe mạnh cùng thiên nhiên, THI%C3%8AN-NHI%C3%8AN-M%E1%BB%9AI-105183237972465/
